routeid,region,variable,long,lat,height,varep
10,NAF,long17,18.1300765001076,27.1010640202952,5235.31100296649,-939.260028920989
11,MS,long17,62.9643250669394,34.6587895587081,4299.72876544089,1744.62158186657
12,NA,long17,-9.00306867663218,42.9070746670751,8478.04206859032,-968.923862421986
13,IO,long17,77.8647218092099,21.5919303495546,2911.23895261845,3056.83167734717
14,AS,long17,84.3288741098198,41.7510611857258,2429.83220255008,1543.95182249649
15,ATO,long17,27.3027300155838,35.6144303509369,7184.88659150808,-1021.85411759073
16,NA,long17,-48.6845013170589,38.1830428216696,8404.49242222225,-1682.13093447845
17,ATO,long17,54.2227102023101,45.4353515402127,6807.92289943362,-93.5834389955298
18,AS,long17,89.7529675495881,25.5915006212078,3089.4673039203,1523.03662080157
19,AS,long17,45.9301192708695,24.6556536789348,4312.51940815845,-717.238818262456
20,BS,long17,83.0549325770815,42.9855056140371,3962.93656361031,4201.30736324195
1,AS,long18,106.236726418295,28.8538618407677,3071.79380249292,4250.37229373792
2,CS,long18,70.0361832837267,34.0016442363729,2682.54433646925,10573.5117294149
