routeid,region,variable,long,lat
9,AS,long28,24.0614172384235,38.283538429312
10,NAF,long28,51.260274791452,34.0966009970325
11,MS,long28,80.2194578078194,34.1600173411761
12,NA,long28,53.9155900474479,37.7741540917855
13,IO,long28,83.5275946328472,25.4002183912237
14,AS,long28,89.1198832277046,38.3498793165948
15,ATO,long28,67.4653847823707,35.9433585420265
16,NA,long28,27.4860458571837,36.7914084590274
17,ATO,long28,83.3583009410594,38.2026666517539
18,AS,long28,90.0212453335952,27.7375068359444
19,AS,long28,62.9216830856047,31.1201876078717
20,BS,long28,93.696704826491,38.077226542992
1,AS,long29,99.5746311083682,29.7434391591736
2,CS,long29,77.5792407134745,33.8820047979374
3,ATO,long29,43.8469166508802,34.6102550480441
4,AS,long29,100.457088688674,35.8365167033344
5,ATO,long29,56.3548355525795,36.1539470239929
6,NAF,long29,74.1013704086184,35.5236786934239
7,EU,long29,81.1365008399226,40.1158783625348
8,NA,long29,75.1602371602675,38.1833590863017
9,AS,long29,30.9973236321082,37.2067175446349
10,NAF,long29,55.1941758987359,34.4834635301283
11,MS,long29,81.1956538529576,34.1285863874476
12,NA,long29,58.5484483272535,37.3838921331979
13,IO,long29,84.0233831061667,25.9010132186519
14,AS,long29,89.495127503584,38.0377805689687
